country,year,pm25,primary_energy_per_capita,renewable_energy_pct,forest_area_pct,energy_use_per_capita,agricultural_land_pct,gdp_per_capita,industry_pct_gdp,trade_pct_gdp,gross_capital_formation_pct,urban_population_pct,life_expectancy,population_density,basic_drinking_water_pct
NOR,2008,8.00676104351433,4.27,58.5,33.1400378924774,6412.35151011432,2.80579557775076,75535.2118003041,40.8115905550248,74.7852799340995,25.7831499903704,78.7541006020666,80.5926829268293,13.0548674310872,99.9999977163504
NOR,2009,7.89254973194028,4.26,56.7,33.1370262071382,6200.50244551882,2.77693815641051,73141.3073299889,34.8690747104576,67.4643154601855,24.2956955575084,79.0570820210427,80.7951219512195,13.2205484552792,99.9999984427173
NOR,2010,7.85010783433474,4.46,56.0,33.1340145217991,6455.3166845378,2.75404934783323,72804.3956188398,35.3094842115323,68.2395193584281,24.9886867450873,79.245002746582,80.9975609756098,13.3862623342204,99.9999997403377
NOR,2011,8.65989791417676,3.81,56.0,33.1553701087492,5501.9559356258,2.73515786706969,72660.6754124944,37.6245805499,69.5987336334833,25.4459810194492,79.311620451463,81.2951219512195,13.5610386481366,99.9999978903117
NOR,2012,7.30698815670179,3.96,56.9,33.1767256956993,5805.46758867551,2.71818291334012,73661.6785830334,37.4765762389368,68.4985528389766,25.8720343590957,79.4905925441617,81.4512195121951,13.7403297521657,100.0
NOR,2013,7.02749190738719,4.14,56.6,33.2090866046879,6047.18057523381,2.70359004539183,73515.9144917472,36.2739314669769,67.9727925936832,27.3276198211521,79.9723980455359,81.7512195121951,13.9120886837683,99.9999992599067
NOR,2014,7.09267324687363,3.75,55.8,33.2318108614437,5525.57603893844,2.7026523658753,74180.3238731011,34.6738352116026,69.1373772209037,27.2099921057026,80.6117159535579,82.1,14.0704449094514,100.0
NOR,2015,6.75214227846257,3.31,56.5,33.2456439881958,4930.48137593923,2.70004137564292,74809.9658049898,31.5986317732861,70.431856540017,26.9188414862645,81.2378240971353,82.3048780487805,14.2079384825517,99.9999975725988
NOR,2016,6.23059189808068,3.6,57.7,33.271099733249,5368.57647170474,2.69388608214041,75017.4944769055,28.5306166329967,69.1168423974699,27.7264215581661,81.6800003051758,82.4073170731707,14.3354243797401,99.9999982841092
NOR,2017,6.52155808218128,3.74,58.9,33.2945336229161,5673.5093152418,2.69802778789613,76247.4116445341,30.4933671932528,69.1087817621061,27.5528323979124,81.9699745912375,82.609756097561,14.452576255125,100.0
NOR,2018,6.69607752509394,3.65,58.9,33.3172650284299,5539.19011908654,2.70133768638321,76373.6474606092,32.6446122707692,70.0031957894984,27.7268430380858,82.2452112401723,82.7585365853659,14.5488896436123,100.0
NOR,2019,6.38122446338577,3.43,59.8,33.3399069828592,5220.68866140147,2.69589201685045,76712.2871160349,29.8244589771798,70.8958205272987,29.611444403947,82.4935894878281,82.9585365853659,14.6479975020132,99.9999973521183
NOR,2020,6.05589724673443,3.44,60.9,33.4353596771758,5145.72221927617,2.70656765993659,75287.2059527598,26.8831673443447,65.3539790413323,31.3521157276673,82.7029885700532,83.209756097561,14.7672152298338,100.0
NZL,2008,6.82821205375524,4.52,26.1,37.4030002658463,4100.75606551399,43.1962325775702,35739.3584607571,23.4180182363135,64.2611448527979,22.9039037931743,85.9144723093505,80.3512195121951,16.1778891800539,100.0
NZL,2009,6.93534102480686,4.6,28.5,37.4021191751168,4073.03697683547,43.6367779423493,35370.585185302,21.5920234531835,55.0143501856026,19.926477761063,85.8918345477824,80.7024390243902,16.340435228438,99.9999975383469
NZL,2010,6.96830513959859,4.68,29.4,37.4012380843872,4147.30616096111,43.3253579431089,35489.7631519026,21.3739109959972,58.1047406012087,20.3756573267404,85.8614043258228,80.9048780487805,16.5231096426266,100.0
NZL,2011,6.74391297899936,4.6,30.3,37.4000911473169,4108.26383266428,43.1848391629638,35957.523248516,21.0821962770197,59.1724105593848,20.6489426548507,85.8233151875134,81.1560975609756,16.6495765447571,99.9999988858894
NZL,2012,6.77378849107112,4.73,28.8,37.3989442102465,4280.5653723436,42.571113896168,36607.1493914827,21.0796325358149,56.9087671962042,21.2760294778962,85.777700676896,81.4073170731707,16.7411036420949,99.9999978085497
NZL,2013,6.77775160923795,4.68,28.3,37.3977972731761,4298.71533674262,42.1784208727356,37267.6586997514,20.3295523823426,55.9861241102171,22.1773812692661,85.7080129786455,81.4048780487805,16.8702290076336,100.0
NZL,2014,6.59603176441408,4.74,29.0,37.3966503361057,4476.80712476497,42.2163989214234,38056.2646732554,21.4447733176352,55.0986550961851,23.059728219927,85.5076659530411,81.4568292682927,17.1527856898713,100.0
NZL,2015,6.57020164227168,4.62,29.3,37.3955033990354,4422.74264118048,40.6820857544339,38665.3723018158,21.2079712328178,54.851331734287,23.1953014645751,85.1518763760531,81.6124390243903,17.5056017621815,100.0
NZL,2016,6.63410190310228,4.4,30.1,37.396035091717,4265.93839527509,40.3099008772929,39235.3695566636,20.173239535132,52.4062478142589,23.1657261077796,84.691365594,81.6585365853659,17.9032319319433,99.9999978251524
NZL,2017,6.82907618571061,4.25,28.4,37.411606091679,4200.71262692085,40.4238350233565,39722.6068434219,20.5291845375564,54.1432970416804,23.70401682613,84.1701025874108,81.8585365853659,18.2811135163875,99.9999952214353
NZL,2018,7.21258721355312,4.04,28.9,37.4279366526148,4109.2206852685,39.8693555125138,40371.5456268118,20.3819514710778,55.7664814899437,23.9860432020994,83.8017846685577,81.7073170731707,18.6115225399719,99.9999959549403
NZL,2019,7.42296671535298,4.05,28.0,37.4673198891041,4170.80496267642,39.2882913675895,40727.8822513384,20.3679361122366,54.4542971758367,23.7676954815243,83.804965871667,82.0560975609756,18.8762295393263,99.9999954101942
NZL,2020,6.48591499675774,3.94,28.7,37.5701264669021,3862.58510163497,38.5629106376514,39785.473128643,19.977838930424,43.9772422862431,23.1117429315929,83.8138977095908,82.2560975609756,19.2639854164293,100.0
PAK,2008,50.7539150601749,4.39,46.6,5.41878891656289,437.793091427855,45.8086861768369,1258.05188934452,21.1955484525846,34.3489608135242,17.996422608907,34.4460387735948,64.002,245.821804950187,88.4820319386941
PAK,2009,47.7996621859414,4.41,46.4,5.36462614155251,433.232502017003,45.7619863013699,1269.07432116444,20.3372467582902,33.3268872863988,17.5777374307953,34.6280259603331,64.206,252.148886986301,88.6492343131649
PAK,2010,46.5708385959715,4.37,47.4,5.31046336654213,429.290150470498,45.7165836446658,1256.69482201323,20.9650197800876,31.9890020462315,15.9615524272363,34.8159187475539,64.378,258.456630085098,88.8147345072875
PAK,2011,55.754979166674,4.27,46.8,5.26865919468659,422.806783066711,46.6168534661685,1261.83161907857,21.1864809532945,32.3626382751438,14.6316275197265,35.0113675889897,64.659,264.303218399751,88.978515573403
PAK,2012,66.8719540673752,4.19,47.2,5.22685502283105,419.511994101923,46.781600249066,1275.48806898966,21.9583720724829,31.3189732760076,15.1689869381562,35.2160229383731,64.883,269.389691002491,89.1405658210321
PAK,2013,68.5813248667094,4.13,48.1,5.18505085097551,421.547198130113,47.063096720631,1309.70080446386,20.8910295084645,30.8902743401844,14.9823804459246,35.4315352494366,65.129,273.809124636779,89.3007289268109
PAK,2014,71.7121701033462,4.17,47.2,5.14324667911997,433.41831568369,47.0267745952677,1343.30778121043,20.8659912298838,29.4698256903998,14.9075542099107,35.6595549759128,65.374,277.948120330012,89.4591472805659
PAK,2015,68.0068767608943,4.13,45.9,5.10144250726443,437.113254936443,46.9619136571191,1380.47020838317,19.602614668814,26.6881860172247,15.8109305453177,35.9017325715342,65.641,281.873810450394,89.6158196961384
PAK,2016,68.5228297189002,4.17,43.7,5.01795350767954,446.831497143007,47.7298671647987,1452.18658269177,18.1501179723214,24.7015780480573,15.9357468463989,36.1597184900333,65.943,285.568271326276,89.7707150440618
PAK,2017,61.7967274713574,4.17,42.1,4.99418845994188,456.017360937059,48.0009858862599,1495.26187528032,18.0993270885214,25.472035002344,16.3328910849517,36.4351548223399,66.223,289.635179275633,89.9237776878555
PAK,2018,62.3894976390133,4.02,43.4,4.94056143628061,453.513978590289,47.9361249481112,1561.68169819559,18.5890515927482,27.6260570796337,17.0682908414203,36.7478511550359,66.481,294.376416562889,90.0758470234098
PAK,2019,52.8571976958305,3.83,45.9,4.88693441261934,431.515757251107,47.0553134080531,1573.8330826937,19.5638945814483,28.9055769867032,15.4996449690024,37.1091631735769,66.729,299.399256693649,90.2267743289886
PAK,2020,42.9981734249878,4.17,42.7,4.83330738895807,454.250317980901,47.572903694479,1526.00597486307,18.5894635445816,26.7162807328814,14.8155399944077,37.5080192948099,65.701,304.848674242424,90.3763302585524
